Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
45880421727124277,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42440,22,13,16,2640,22:40:47.503
45880423731310775,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,6,16,2640,22:40:47.503
45880423598745047,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,0,9,1754,22:40:47.503
45880422658790285,of:00006a0c44499c45,0x800,10,1,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42440,22,15,16,2640,22:40:49.620
45880422604870933,of:00006a0c44499c45,0x800,10,1,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,3,11,2038,22:40:49.620
45880423131934375,of:00006a0c44499c45,0x800,10,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42442,9,23,3916,22:40:49.620
45880422054935480,of:00006a0c44499c45,0x800,10,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42444,3,13,2980,22:40:49.620
45880425241133125,of:00006a0c44499c45,0x800,10,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42440,15,23,3916,22:40:49.619
45880422855485052,of:00006a0c44499c45,0x800,10,1,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,9,16,2640,22:40:49.620
45880425295042198,of:00004e7de7353a40,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42444,2,13,2980,22:40:49.502
45880423023918745,of:00004e7de7353a40,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42442,8,23,3916,22:40:49.502
45880423336806451,of:00004e7de7353a40,0x800,10,1,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42440,15,23,3916,22:40:49.502
45880421727124277,of:00004e7de7353a40,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42440,22,15,16,2640,22:40:49.502
45880423731310775,of:00004e7de7353a40,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,8,16,2640,22:40:49.502
45880423598745047,of:00004e7de7353a40,0x800,10,1,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,2,11,2038,22:40:49.502
45880422604870933,of:00006a0c44499c45,0x800,10,0,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,5,13,2322,22:40:51.619
45880423131934375,of:00006a0c44499c45,0x800,10,0,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42442,11,23,3916,22:40:51.619
45880422054935480,of:00006a0c44499c45,0x800,10,0,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42444,5,17,3380,22:40:51.619
45880422855485052,of:00006a0c44499c45,0x800,10,0,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,11,16,2640,22:40:51.619
45880425295042198,of:00004e7de7353a40,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42444,4,17,3380,22:40:51.502
45880423023918745,of:00004e7de7353a40,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42442,10,23,3916,22:40:51.502
45880423336806451,of:00004e7de7353a40,0x800,10,0,False,10,3,2,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42440,17,23,3916,22:40:51.502
45880421727124277,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42440,22,17,16,2640,22:40:51.502
45880423731310775,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42442,22,10,16,2640,22:40:51.502
45880423598745047,of:00004e7de7353a40,0x800,10,0,False,10,2,3,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,4,13,2322,22:40:51.502
45880422604870933,of:00006a0c44499c45,0x800,10,1,False,10,1,2,08:00:27:02:34:4F,08:00:27:D4:A3:EA,192.168.1.26/32,192.168.1.35/32,6,42444,22,7,16,2640,22:40:53.619
45880424486269081,of:00006a0c44499c45,0x800,10,1,False,10,2,1,08:00:27:D4:A3:EA,08:00:27:02:34:4F,192.168.1.35/32,192.168.1.26/32,6,22,42446,1,9,2580,22:40:53.619
